Agent,Condition,CrashRate,Stability,AltError
Scratch,standard,0.0,1.0,0.005993119906634092
Scratch,mild,0.0,1.0,0.00599663844332099
Scratch,medium,0.0,1.0,0.006000156980007887
Scratch,hard,0.34,0.66,0.005991735961288214
Scratch,low_altitude,1.0,0.0,inf
Scratch,high_tilt,0.0,1.0,0.005974831525236368
Scratch,high_velocity,0.94,0.06,0.00594606576487422
Survival,standard,0.0,1.0,0.011134221218526363
Survival,mild,0.0,1.0,0.01171594113111496
Survival,medium,0.08,0.92,0.013019747100770473
Survival,hard,0.42,0.58,0.013597278855741024
Survival,low_altitude,1.0,0.0,inf
Survival,high_tilt,1.0,0.0,inf
Survival,high_velocity,0.92,0.08,0.008928874507546425
Curiosity,standard,0.0,1.0,0.006210944149643183
Curiosity,mild,0.0,1.0,0.006211104802787304
Curiosity,medium,0.0,1.0,0.006211259867995977
Curiosity,hard,0.2,0.8,0.006212153472006321
Curiosity,low_altitude,1.0,0.0,inf
Curiosity,high_tilt,0.0,1.0,0.006212032865732908
Curiosity,high_velocity,0.74,0.26,0.00620134687051177
SurvCuriosity,standard,1.0,0.0,inf
SurvCuriosity,mild,1.0,0.0,inf
SurvCuriosity,medium,1.0,0.0,inf
SurvCuriosity,hard,0.98,0.0,0.5859766602516174
SurvCuriosity,low_altitude,1.0,0.0,inf
SurvCuriosity,high_tilt,1.0,0.0,inf
SurvCuriosity,high_velocity,1.0,0.0,inf
SafetyMastery,standard,1.0,0.0,inf
SafetyMastery,mild,0.86,0.0,1.7661687135696411
SafetyMastery,medium,0.78,0.0,2.016568899154663
SafetyMastery,hard,0.84,0.0,2.249190330505371
SafetyMastery,low_altitude,1.0,0.0,inf
SafetyMastery,high_tilt,1.0,0.0,inf
SafetyMastery,high_velocity,0.98,0.0,3.031569480895996
