Env Set,Method,Val Error (Learnable Avg),Samples Wasted Inactive,Samples Wasted Noisy,Total Mastered Learnable,False Masteries,False Blocked
ID_Medium,HighestError,0.3151 ± 0.2522,17.4000,722.3000,0.9000,0.0000,0.0000
ID_Medium,LearningProgress,0.0589 ± 0.0365,67.2000,349.6000,4.6000,0.0000,0.0000
ID_Medium,MasteryGatedHypothesis,0.0338 ± 0.0158,135.8000,82.2000,5.2000,0.0000,0.0000
ID_Medium,PPO_Fixed,0.7899 ± 0.4458,0.0000,231.8000,2.4000,0.0000,0.0000
ID_Medium,PPO_Procedural,1.1646 ± 0.5040,0.0000,267.2000,1.2000,0.0000,0.0000
ID_Medium,Random,0.0974 ± 0.0790,207.7000,192.8000,4.5000,0.0000,0.0000
OOD_Hard,HighestError,0.4261 ± 0.2438,0.6000,763.8000,0.0000,0.0000,0.0000
OOD_Hard,LearningProgress,0.2225 ± 0.1746,67.4000,393.2000,4.5000,0.0000,0.0000
OOD_Hard,MasteryGatedHypothesis,0.2080 ± 0.1820,117.1000,85.3000,4.6000,0.0000,0.0000
OOD_Hard,PPO_Fixed,0.5860 ± 0.2961,0.0000,250.7000,2.2000,0.0000,0.0000
OOD_Hard,PPO_Procedural,0.7622 ± 0.5198,0.0000,234.5000,1.1000,0.0000,0.0000
OOD_Hard,Random,0.2341 ± 0.1951,207.7000,185.0000,4.4000,0.0000,0.0000
